Record,,,,,Honours,,,,,,,,,,,,
"William Edward Barclay
 John McKenna","Ireland
  Ireland",15 February 1892,16 August 1896,127,77,20,30,60.63,0,2,0,0,0,0,0,0,[26][A]
Tom Watson,England,17 August 1896,6 May 1915,742,329,141,272,44.34,2,1,0,0,0,0,0,0,[27]
George Patterson,England,1 June 1915,14 December 1919,18,7,2,9,38.89,0,0,0,0,0,0,0,0,[28]
David Ashworth,England,18 December 1919,12 February 1923,139,70,40,29,50.36,1,0,0,0,0,0,0,0,[29]
Matt McQueen,Scotland,13 February 1923,15 February 1928,229,93,60,76,40.61,1,0,0,0,0,0,0,0,[30]
George Patterson,England,7 March 1928,6 August 1936,366,137,85,144,37.43,0,0,0,0,0,0,0,0,[28]
George Kay,England,6 August 1936,January 1951,357,142,93,122,39.78,1,0,0,0,0,0,0,0,[31]
Don Welsh,England,23 March 1951,4 May 1956,232,81,58,93,34.91,0,0,0,0,0,0,0,0,[32]
Phil Taylor,England,May 1956,17 November 1959,150,76,32,42,50.67,0,0,0,0,0,0,0,0,[33]
Bill Shankly,Scotland,1 December 1959,12 July 1974,783,407,198,178,51.98,3,1,2,0,4,0,1,0,[34]
Bob Paisley,England,26 August 1974,1 July 1983,581,380,131,70,65.4,6,0,0,3,5,3,1,1,[34]
Joe Fagan,England,2 July 1983,29 May 1985,131,71,36,24,54.2,1,0,0,1,0,1,0,0,[35]
Kenny Dalglish,Scotland,30 May 1985,21 February 1991,307,187,78,42,60.91,3,0,2,0,4,0,0,0,[36]
Ronnie Moran*,England,22 February 1991,15 April 1991,10,4,1,5,40,0,0,0,0,0,0,0,0,[37]
Graeme Souness,Scotland,16 April 1991,28 January 1994,157,66,45,46,42.04,0,0,1,0,0,0,0,0,[38][B]
Roy Evans,England,31 January 1994,12 November 1998,226,117,56,53,51.77,0,0,0,1,0,0,0,0,[39]
"Roy Evans
 Gérard Houllier","England
  France",16 July 1998,12 November 1998,18,7,6,5,38.89,0,0,0,0,0,0,0,0,[40]
Gérard Houllier,France,16 July 1998,24 May 2004,307,160,73,74,52.12,0,0,1,2,1,0,1,1,[41][C]
Rafael Benítez,Spain,16 June 2004,3 June 2010,350,197,74,79,56.29,0,0,1,0,1,1,0,1,[42]
Roy Hodgson,England,1 July 2010,8 January 2011,31,13,8,10,41.94,0,0,0,0,0,0,0,0,[43]
Kenny Dalglish,Scotland,8 January 2011,16 May 2012,74,35,17,22,47.3,0,0,0,1,0,0,0,0,[44]
Brendan Rodgers,Northern Ireland,1 June 2012,4 October 2015,166,85,39,42,51.2,0,0,0,0,0,0,0,0,[45]
Jürgen Klopp,Germany,8 October 2015,Present,54,24,16,14,44.44,0,0,0,0,0,0,0,0,[46]